RAW,DATA TAG,PRICE,PRICE_UNIT,CLEANED TAG,TYPE,LOC,ALL AREA,AREA,TERRAIN,DISPONIBL MAINTEN,NEUF,CHAMBRE,PIECE,FLOOR,FLOORS
"Appartement à vendre - Paris 16ème - 1 495 000 € - 5 pièces, 4 chambres, 130 m², Étage 3/6","['APPART A VENDR', 'PARIS 16EM', '5 PIEC', '4 CHAMBR', '130 M²', 'ETAG 3/6']",1495000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75016,['130 M²'],130.0,0.0,0,0,4,5,3,6
"Appartement à vendre - Paris 7ème - 1 090 000 € - 3 pièces, 1 chambre, 78 m², RDC/3","['APPART A VENDR', 'PARIS 7EM', '3 PIEC', '1 CHAMBR', '78 M²', 'RDC/3']",1090000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'RDC')",APPART A VENDR,75007,['78 M²'],78.0,0.0,0,0,1,3,0,3
"Appartement à vendre - Paris 7ème - 1 385 000 € - 3 pièces, 2 chambres, 106 m², Étage 2/10","['APPART A VENDR', 'PARIS 7EM', '3 PIEC', '2 CHAMBR', '106 M²', 'ETAG 2/10']",1385000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75007,['106 M²'],106.0,0.0,0,0,2,3,2,10
"Appartement à vendre - Paris 17ème - 1 953 000 € - 5 pièces, 3 chambres, 155 m², Étage 1/6","['APPART A VENDR', 'PARIS 17EM', '5 PIEC', '3 CHAMBR', '155 M²', 'ETAG 1/6']",1953000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75017,['155 M²'],155.0,0.0,0,0,3,5,1,6
"Appartement à vendre - Neuf - Montrouge - 405 000 € - 2 pièces, 1 chambre, 43,8 m²","['APPART A VENDR', 'NEUF', 'MONTROUG', '2 PIEC', '1 CHAMBR', '43.8 M²']",405000.0,EUR,"('APPART A VENDR', 'NEUF', 'MONTROUG', 'PIEC', 'CHAMBR', 'M²')",APPART A VENDR,92000,['43.8 M²'],43.8,0.0,0,1,1,2,0,0
"Appartement à vendre - Neuf - Paris 4ème - 1 470 000 € - 2 pièces, 1 chambre, 82,6 m², RDC","['APPART A VENDR', 'NEUF', 'PARIS 4EM', '2 PIEC', '1 CHAMBR', '82.6 M²', 'RDC']",1470000.0,EUR,"('APPART A VENDR', 'NEUF', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'RDC')",APPART A VENDR,75004,['82.6 M²'],82.6,0.0,0,1,1,2,0,0
"Appartement à vendre - Paris 17ème - 1 300 000 € - 3 pièces, 1 chambre, 98 m², 4ème étage","['APPART A VENDR', 'PARIS 17EM', '3 PIEC', '1 CHAMBR', '98 M²', '4EM ETAG']",1300000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75017,['98 M²'],98.0,0.0,0,0,1,3,4,4
"Appartement à vendre - Paris 1er - 329 000 € - 1 pièce, 28,7 m², Étage 3/5","['APPART A VENDR', 'PARIS 1ER', '1 PIEC', '28.7 M²', 'ETAG 3/5']",329000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'M²', 'ETAG')",APPART A VENDR,75001,['28.7 M²'],28.7,0.0,0,0,0,1,3,5
"Appartement à vendre - Paris 6ème - 1 100 000 € - 2 pièces, 1 chambre, 51 m², Étage 2/7","['APPART A VENDR', 'PARIS 6EM', '2 PIEC', '1 CHAMBR', '51 M²', 'ETAG 2/7']",1100000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75006,['51 M²'],51.0,0.0,0,0,1,2,2,7
"Duplex à vendre - Paris 6ème - 1 050 000 € - 2 pièces, 1 chambre, 59 m², Étage 2/5","['DUPLEX A VENDR', 'PARIS 6EM', '2 PIEC', '1 CHAMBR', '59 M²', 'ETAG 2/5']",1050000.0,EUR,"('DUPLEX A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",DUPLEX A VENDR,75006,['59 M²'],59.0,0.0,0,0,1,2,2,5
"Appartement à vendre - Neuf - Paris 18ème - 329 000 € - 2 pièces, 1 chambre, 32 m², dès le 31/12/2026","['APPART A VENDR', 'NEUF', 'PARIS 18EM', '2 PIEC', '1 CHAMBR', '32 M²', '31/12/2026']",329000.0,EUR,"('APPART A VENDR', 'NEUF', 'PARIS', 'PIEC', 'CHAMBR', 'M²')",APPART A VENDR,75018,['32 M²'],32.0,0.0,0,1,1,2,0,0
"Appartement à vendre - Paris 17ème - 476 000 € - 3 pièces, 2 chambres, 52 m², RDC","['APPART A VENDR', 'PARIS 17EM', '3 PIEC', '2 CHAMBR', '52 M²', 'RDC']",476000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'RDC')",APPART A VENDR,75017,['52 M²'],52.0,0.0,0,0,2,3,0,0
"Appartement à vendre - Paris 2ème - 659 000 € - 2 pièces, 1 chambre, 44,8 m², Étage 2/5","['APPART A VENDR', 'PARIS 2EM', '2 PIEC', '1 CHAMBR', '44.8 M²', 'ETAG 2/5']",659000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75002,['44.8 M²'],44.8,0.0,0,0,1,2,2,5
"Appartement à vendre - Paris 6ème - 3 350 000 € - 3 pièces, 2 chambres, 92 m², Étage 2/5","['APPART A VENDR', 'PARIS 6EM', '3 PIEC', '2 CHAMBR', '92 M²', 'ETAG 2/5']",3350000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75006,['92 M²'],92.0,0.0,0,0,2,3,2,5
"Appartement à vendre - Paris 16ème - 3 535 000 € - 9 pièces, 4 chambres, 240,1 m², Étage 6/7","['APPART A VENDR', 'PARIS 16EM', '9 PIEC', '4 CHAMBR', '240.1 M²', 'ETAG 6/7']",3535000.0,EUR,"('APPART A VENDR', 'PARIS', 'PIEC', 'CHAMBR', 'M²', 'ETAG')",APPART A VENDR,75016,['240.1 M²'],240.1,0.0,0,0,4,9,6,7
"Duplex à vendre - Neuf - Aubervilliers - 305 000 € - 4 pièces, 85 m², dès le 30/06/2027","['DUPLEX A VENDR', 'NEUF', 'AUBERVILLI', '4 PIEC', '85 M²', '30/06/2027']",305000.0,EUR,"('DUPLEX A VENDR', 'NEUF', 'AUBERVILLI', 'PIEC', 'M²')",DUPLEX A VENDR,93000,['85 M²'],85.0,0.0,0,1,2,4,0,0
